city,confirmed,deaths,estimated_population,confirmed_per_100k_inhabitants,death_rate,pib_per_capita,n_vaccinations,demographic_density,vaccinated,vaccinated_per_100k_inhabitants
CATURITE,442,7,4875,9066.66667,0.0158,10771.02,4161,38.47,3106,63712.82051282051
CONCEICAO,878,28,19007,4619.35077,0.0319,9503.62,12863,31.69,9884,52001.894039038256
CONDADO,595,10,6658,8936.6176,0.0168,9058.13,5053,23.44,3808,57194.352658455995
CONDE,2856,44,25010,11419.43223,0.0154,32757.17,18118,123.74,14442,57744.90203918433
CONGO,270,13,4787,5640.27575,0.0481,10762.77,4258,14.06,3175,66325.46480050136
COREMAS,1757,39,15441,11378.79671,0.0222,9229.35,11327,39.92,8578,55553.39680072534
COXIXOLA,109,4,1935,5633.07494,0.0367,10824.26,1660,10.43,1219,62997.41602067184
CRUZ DO ESPIRITO SANTO,1157,28,17461,6626.19552,0.0242,8760.05,13115,83.12,10012,57339.213103487775
CUBATI,559,14,7832,7137.38509,0.025,8483.6,5521,50.13,4226,53958.12053115424
CUITE,1806,22,20334,8881.67601,0.0122,10894.03,15791,26.93,11630,57194.84607062063
CUITE DE MAMANGUAPE,328,16,6356,5160.47829,0.0488,9533.11,4191,57.19,3321,52249.84266834487
CUITEGI,952,25,6775,14051.66052,0.0263,9381.45,4922,175.28,3770,55645.756457564574
CURRAL DE CIMA,525,4,5218,10061.32618,0.0076,9416.87,4445,61.21,3255,62380.22230739747
CURRAL VELHO,457,1,2512,18192.67516,0.0022,9296.88,1699,11.24,1267,50437.89808917198
DAMIAO,495,4,5370,9217.87709,0.0081,8056.25,3989,26.39,2959,55102.4208566108
DESTERRO,692,12,8315,8322.30908,0.0173,7420.02,6211,44.55,4656,55995.18941671677
DIAMANTE,793,10,6528,12147.67157,0.0126,8393.0,5103,24.58,3719,56969.97549019608
DONA INES,655,18,10413,6290.21416,0.0275,7863.75,7794,63.29,5862,56295.01584557765
DUAS ESTRADAS,539,16,3582,15047.45952,0.0297,11253.15,2671,138.53,2063,57593.52317141262
EMAS,282,5,3539,7968.35264,0.0177,9698.86,2461,13.77,1857,52472.44984458887
ESPERANCA,5409,86,33199,16292.65942,0.0159,13352.01,23125,189.86,17814,53658.24271815416
FAGUNDES,790,18,11215,7044.13732,0.0228,8274.6,8896,60.34,6680,59563.08515381186
FREI MARTINHO,340,6,2989,11375.04182,0.0176,9843.41,2593,12.0,1851,61927.06590833055
GADO BRAVO,777,9,8303,9358.06335,0.0116,8029.87,5459,43.53,4235,51005.660604600744
GUARABIRA,10003,146,59115,16921.25518,0.0146,18391.19,40051,333.8,30681,51900.53285968028
GURINHEM,948,17,14127,6710.55426,0.0179,9213.76,10503,40.08,7828,55411.62313300771
GURJAO,212,7,3453,6139.58876,0.033,9451.1,2726,9.2,1997,57833.76773819867
IBIARA,736,5,5903,12468.23649,0.0068,8387.9,4509,24.67,3326,56344.23174656954
IGARACY,454,7,6105,7436.52744,0.0154,9036.66,3966,32.02,3057,50073.71007371008
IMACULADA,367,11,11848,3097.56921,0.03,7103.98,7540,35.81,5679,47932.140445644836
INGA,3042,44,18144,16765.87302,0.0145,9919.13,12764,63.13,9743,53698.19223985891
ITABAIANA,3207,84,24419,13133.21594,0.0262,12600.39,18751,111.86,14080,57660.01883779025
ITAPORANGA,3020,29,24828,12163.68616,0.0096,12159.72,17338,49.55,13076,52666.34444981473
ITAPOROROCA,2469,35,18823,13116.93141,0.0142,9810.7,12331,116.36,9566,50820.804335121924
ITATUBA,1023,21,11016,9286.49237,0.0205,11362.73,8037,41.77,5998,54448.0755265069
JACARAU,1135,31,14450,7854.67128,0.0273,9401.35,10658,55.1,8242,57038.062283737025
JERICO,716,14,7745,9244.67398,0.0196,8812.86,6092,42.04,4452,57482.24661071659
JOAO PESSOA,103940,2890,817511,12714.20201,0.0278,25768.09,593055,3421.28,456643,55857.719345672405
JOCA CLAUDINO,116,2,2639,4395.6044,0.0172,10835.4,2225,35.33,1589,60212.20159151194
JUAREZ TAVORA,992,12,7976,12437.31194,0.0121,7855.86,5805,105.29,4464,55967.903711133404
JUAZEIRINHO,936,15,18298,5115.31315,0.016,10164.59,11628,35.88,9007,49223.95890261231
JUNCO DO SERIDO,729,9,7195,10132.03614,0.0123,10207.17,5094,38.98,3836,53314.80194579568
JURIPIRANGA,1446,31,10793,13397.5725,0.0214,9633.83,7424,129.84,5634,52200.50032428426
JURU,807,15,9849,8193.72525,0.0186,7692.27,7197,24.37,5312,53934.409584729416
LAGOA,196,3,4653,4212.33613,0.0153,8187.15,3462,26.31,2614,56178.80937029873
LAGOA DE DENTRO,1024,9,7737,13235.10405,0.0088,9643.66,5302,87.21,4058,52449.26974279437
